,ytid,marvin_classes,labels,tot_speech_ct,child_speech_ct,female_speech_ct,male_speech_ct,other_speech_ct,silence_ct
111,-Igq1W20Gi8,['not_speech'],['Whistling'],0,0,0,0,0,0
112,-Irh7_N5Kjs,"['not_speech', 'speech']","['Bellow', 'Speech']",1,0,0,0,1,0
113,-IvJaK7HLtQ,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Carnatic music', 'Mantra', 'Music', 'Sitar']",0,0,0,0,0,0
114,-JBH9j7-h8U,"['not_speech', 'not_speech', 'not_speech']","['Quack', 'Duck', 'Animal']",0,0,0,0,0,0
115,-JJmkQYZA-4,"['not_speech', 'not_speech', 'not_speech']","['Fowl', 'Crowing, cock-a-doodle-doo', 'Chicken, rooster']",0,0,0,0,0,0
116,-JUBdOr8Hes,['not_speech'],['Accordion'],0,0,0,0,0,0
117,-JeVsIKuMIM,['not_speech'],['Static'],0,0,0,0,0,0
118,-JlIkV1f_g4,"['not_speech', 'not_speech']","['Wood block', 'Percussion']",0,0,0,0,0,0
119,-JvB5AL59fM,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Music', 'Rhythm and blues', 'Happy music', 'Exciting music']",0,0,0,0,0,0
120,-JzMCtGCh4o,"['not_speech', 'not_speech']","['Croak', 'Frog']",0,0,0,0,0,0
121,-K1BRF6qng8,['not_speech'],['Female singing'],0,0,0,0,0,0
122,-KA76yUSK44,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Cello', 'String section', 'Orchestra', 'Violin, fiddle', 'Bowed string instrument']",0,0,0,0,0,0
123,-KTabIWnPSg,"['not_speech', 'not_speech', 'not_speech']","['Music', 'Rapping', 'Male singing']",0,0,0,0,0,0
124,-LRl10YdS-U,['not_speech'],['Crushing'],0,0,0,0,0,0
125,-LU2f6iVRVg,"['not_speech', 'speech']","['Shuffling cards', 'Speech']",1,0,0,0,1,0
126,-M6K3QoHh40,"['not_speech', 'not_speech']","['Music', 'Shuffle']",0,0,0,0,0,0
127,-M7ZNV6gLo0,"['not_speech', 'speech']","['Squawk', 'Speech']",1,0,0,0,1,0
128,-M7sMIJRQgg,['not_speech'],"['Jingle, tinkle']",0,0,0,0,0,0
129,-MwKGVrPrmA,['not_speech'],['Typewriter'],0,0,0,0,0,0
130,-NRx0SBMjo0,"['not_speech', 'not_speech']","['Pump (liquid)', 'Water']",0,0,0,0,0,0
131,-Nc_T1FvPx0,"['not_speech', 'not_speech', 'not_speech']","['Vibration', 'Engine', 'Vehicle']",0,0,0,0,0,0
132,-NrseuJrJ6k,"['speech', 'not_speech']","['Speech', 'Boiling']",1,0,0,0,1,0
133,-OAyRsvFGgc,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Tapping (guitar technique)', 'Electric guitar', 'Guitar', 'Heavy metal', 'Music', 'Distortion']",0,0,0,0,0,0
134,-OMB-w3LPNY,"['not_speech', 'not_speech', 'not_speech']","['Music', 'Yell', 'Outside, rural or natural']",0,0,0,0,0,0
135,-OUIEnuNd1I,"['not_speech', 'not_speech']","['Music', 'Wedding music']",0,0,0,0,0,0
136,-OVb-UG8yJw,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Propeller, airscrew', 'Engine', 'Idling', 'Accelerating, revving, vroom', 'Vehicle', 'Aircraft', 'Heavy engine (low frequency)']",0,0,0,0,0,0
137,-OeV4dPAQiw,"['not_speech', 'not_speech', 'speech', 'not_speech', 'not_speech']","['Music', 'Domestic animals, pets', 'Speech', 'Animal', 'Whimper (dog)']",1,0,0,0,1,0
138,-Opbeu2Y2yg,['not_speech'],['Sniff'],0,0,0,0,0,0
139,-OytVyTEboM,"['not_speech', 'not_speech']","['Sonar', 'Sound effect']",0,0,0,0,0,0
140,-PVEno65928,"['not_speech', 'not_speech', 'not_speech']","['Keys jangling', 'Traffic noise, roadway noise', 'Car']",0,0,0,0,0,0
141,-PhYF7PbFew,['not_speech'],"['Trickle, dribble']",0,0,0,0,0,0
142,-PyXfNxnHKs,"['not_speech', 'not_speech']","['Cutlery, silverware', 'Dishes, pots, and pans']",0,0,0,0,0,0
143,-Q9MTRXS4bE,"['not_speech', 'not_speech']","['Cash register', 'Music']",0,0,0,0,0,0
144,-QX2Gv7J5gY,"['not_speech', 'speech']","['Cupboard open or close', 'Speech']",1,0,0,0,1,0
145,-Q_UXiwWR_c,['not_speech'],['Car passing by'],0,0,0,0,0,0
146,-QsPqh8Kyrc,"['not_speech', 'speech']","['Run', 'Speech']",1,0,0,0,1,0
147,-QuWdnmn-kM,"['not_speech', 'not_speech']","['Music', 'Ambient music']",0,0,0,0,0,0
148,-R8MAtu1vWY,['not_speech'],['Sniff'],0,0,0,0,0,0
149,-RKQEJbjXx0,['not_speech'],"['Walk, footsteps']",0,0,0,0,0,0
150,-RYtUAsNhF0,"['not_speech', 'not_speech', 'not_speech']","['Echo', 'New-age music', 'Music']",0,0,0,0,0,0
151,-S-TDT5oq0Q,"['not_speech', 'not_speech', 'not_speech']","['Cattle, bovinae', 'Moo', 'Livestock, farm animals, working animals']",0,0,0,0,0,0
152,-SD43H5B5hE,"['not_speech', 'not_speech', 'not_speech']","['Heart sounds, heartbeat', 'Heart murmur', 'Music']",0,0,0,0,0,0
153,-SWaCArvQug,"['not_speech', 'not_speech']","['Music', 'Drawer open or close']",0,0,0,0,0,0
154,-Sd-j0rKeKw,"['not_speech', 'speech']","['Whimper', 'Speech']",1,0,0,0,1,0
155,-SmkiYKIhfs,"['not_speech', 'not_speech']","['Sawing', 'Wood']",0,0,0,0,0,0
156,-StCvzCSVdA,['not_speech'],['Fire'],0,0,0,0,0,0
157,-T2MO0xBNwM,"['not_speech', 'not_speech']","['Boat, Water vehicle', 'Motorboat, speedboat']",0,0,0,0,0,0
158,-T3Td30k7hA,['not_speech'],['Snort'],0,0,0,0,0,0
159,-TN-8OnbpPQ,"['not_speech', 'speech']","[""Dental drill, dentist's drill"", 'Speech']",1,0,0,0,1,0
160,-TxhuS0jsI4,"['speech', 'speech', 'not_speech']","['Grunt', 'Speech', 'Outside, rural or natural']",2,0,0,0,2,0
161,-U16iKiXGuY,"['not_speech', 'not_speech']","['Jazz', 'Music']",0,0,0,0,0,0
162,-U7agd00tIg,['not_speech'],['Electric toothbrush'],0,0,0,0,0,0
163,-U9jfwt03Gg,['not_speech'],['Clicking'],0,0,0,0,0,0
164,-UKH_6moRZc,"['speech', 'not_speech']","['Speech', 'Drawer open or close']",1,0,0,0,1,0
165,-UTdhK0lwuw,"['not_speech', 'not_speech', 'not_speech']","['Sink (filling or washing)', 'Water tap, faucet', 'Water']",0,0,0,0,0,0
166,-Umconw-CRE,"['not_speech', 'not_speech', 'not_speech']","['Blues', 'Guitar', 'Music']",0,0,0,0,0,0
167,-UoPcgmbIkk,"['speech', 'not_speech']","['Speech', 'Gush']",1,0,0,0,1,0
168,-V9U5F14AVY,"['not_speech', 'not_speech']","['Pump (liquid)', 'Water']",0,0,0,0,0,0
169,-VLOm8cJZRI,"['not_speech', 'not_speech']","['Cutlery, silverware', 'Dishes, pots, and pans']",0,0,0,0,0,0
170,-VasGrFLqW8,"['not_speech', 'not_speech']","['Drip', 'Inside, small room']",0,0,0,0,0,0
171,-Vo4CAMX26U,"['not_speech', 'not_speech']","['Didgeridoo', 'Music']",0,0,0,0,0,0
172,-Vt__PL1bgk,['not_speech'],['Filing (rasp)'],0,0,0,0,0,0
173,-WDOQunQq5Q,['not_speech'],['Toothbrush'],0,0,0,0,0,0
174,-WGiNsWOczo,"['speech', 'speech']","['Chatter', 'Speech']",2,0,0,0,2,0
175,-WKYdeVL3_k,"['not_speech', 'not_speech', 'speech']","['Music', ""Dental drill, dentist's drill"", 'Speech']",1,0,0,0,1,0
176,-WXIhTodJ6M,"['not_speech', 'not_speech']","['Music', 'Classical music']",0,0,0,0,0,0
177,-Wd5YV97ftU,"['not_speech', 'not_speech', 'not_speech', 'speech', 'not_speech', 'not_speech']","['Music', 'Skidding', 'Vehicle', 'Speech', 'Car', 'Race car, auto racing']",1,0,0,0,1,0
178,-WoudI3gGvk,['not_speech'],"['Air horn, truck horn']",0,0,0,0,0,0
179,-WvVG0wHcTc,"['speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Singing', 'Country', 'Guitar', 'Music', 'Wedding music']",1,0,0,0,1,0
180,-X8J0l_ISNI,"['not_speech', 'not_speech']","['Flap', 'Aircraft']",0,0,0,0,0,0
181,-XZBpMKRhok,"['not_speech', 'speech']","['Electric shaver, electric razor', 'Speech']",1,0,0,0,1,0
182,-XilaFMUwng,"['not_speech', 'not_speech']","['Bird', 'Crow']",0,0,0,0,0,0
183,-XnPjiPiRAM,"['not_speech', 'not_speech', 'not_speech']","['Tabla', 'Drum', 'Percussion']",0,0,0,0,0,0
184,-XwtCzUaN1I,"['not_speech', 'not_speech']","['Cymbal', 'Hi-hat']",0,0,0,0,0,0
185,-XxUW9gW6mc,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Goat', 'Rustling leaves', 'Livestock, farm animals, working animals', 'Animal']",0,0,0,0,0,0
186,-Y8sJDoL1YA,['not_speech'],['Gong'],0,0,0,0,0,0
187,-YAyjUL7_xo,"['not_speech', 'not_speech', 'not_speech']","['Sizzle', 'Stir', 'Frying (food)']",0,0,0,0,0,0
188,-YIT4HBM__g,"['not_speech', 'not_speech', 'not_speech']","['Music', 'Vocal music', 'A capella']",0,0,0,0,0,0
189,-YRJHtktT1g,"['not_speech', 'not_speech', 'speech', 'not_speech', 'not_speech']","['Toot', 'Vehicle', 'Speech', 'Car', 'Outside, urban or manmade']",1,0,0,0,1,0
190,-YfaQljuwwA,['not_speech'],['Clip-clop'],0,0,0,0,0,0
191,-Yk2eyBxCdQ,"['not_speech', 'not_speech', 'not_speech']","['Pulleys', 'Gears', 'Mechanisms']",0,0,0,0,0,0
192,-YwPSwhe2jo,"['not_speech', 'not_speech', 'speech']","['Music', 'Shuffle', 'Speech']",1,0,0,0,1,0
193,-Z1ZSWDouUU,"['not_speech', 'not_speech', 'not_speech', 'not_speech']","['Boat, Water vehicle', 'Motorboat, speedboat', 'Wind', 'Wind noise (microphone)']",0,0,0,0,0,0
194,-Z8bjo6q6jc,"['not_speech', 'speech']","['Whale vocalization', 'Speech']",1,0,0,0,1,0
195,-ZFQfWBmfdE,['not_speech'],['Crushing'],0,0,0,0,0,0
196,-ZJqu_4zLMc,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'speech', 'not_speech']","['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",1,0,0,0,1,0
197,-ZlExzZRlF4,['not_speech'],['Mechanical fan'],0,0,0,0,0,0
198,-_9xozPeXzk,"['not_speech', 'not_speech', 'not_speech']","['Ratchet, pawl', 'Gears', 'Mechanisms']",0,0,0,0,0,0
199,-_HXiz8XnV0,"['not_speech', 'not_speech', 'speech', 'not_speech']","['Music', 'Breaking', 'Speech', 'Inside, small room']",1,0,0,0,1,0
200,-_QPd-VskKY,['not_speech'],['Mouse'],0,0,0,0,0,0
201,-_UCboMO_xE,['not_speech'],"['Slap, smack']",0,0,0,0,0,0
202,-_f_ClsDxyc,"['not_speech', 'not_speech', 'not_speech']","['Brass instrument', 'Clarinet', 'Trumpet']",0,0,0,0,0,0
203,-a0drwQsrso,['not_speech'],['Blender'],0,0,0,0,0,0
204,-a8dC-A_xQE,"['not_speech', 'speech', 'speech']","['Music', 'Chatter', 'Speech']",2,0,0,0,2,0
205,-aJYgmhyrvQ,"['not_speech', 'speech']","['Squish', 'Speech']",1,0,0,0,1,0
206,-aOxR6ILsw8,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Idling', 'Vehicle', 'Car', 'Outside, rural or natural', 'Engine starting']",0,0,0,0,0,0
207,-aRZT0PYhJU,"['not_speech', 'not_speech']","['Sanding', 'Wood']",0,0,0,0,0,0
208,-aXWYfAdovc,"['not_speech', 'not_speech', 'not_speech']","['Bee, wasp, etc.', 'Insect', 'Fly, housefly']",0,0,0,0,0,0
209,-adm_P3xa0s,"['not_speech', 'not_speech', 'speech']","['Rumble', 'Vehicle', 'Speech']",1,0,0,0,1,0
210,-bGQrd947QE,"['not_speech', 'not_speech']","['Steam', 'Hiss']",0,0,0,0,0,0
211,-bJPDtT31p0,"['not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech', 'not_speech']","['Drum', 'Drum kit', 'Drum roll', 'Rimshot', 'Snare drum', 'Bass drum', 'Percussion']",0,0,0,0,0,0
212,-bNJ9olw-OE,"['not_speech', 'speech', 'not_speech']","['Electric toothbrush', 'Speech', 'Inside, small room']",1,0,0,0,1,0
213,-bZ4yrpTcjw,"['not_speech', 'not_speech', 'not_speech']","['Drill', 'Tools', 'Power tool']",0,0,0,0,0,0
214,-bgHkxwoliw,"['not_speech', 'not_speech']","['Music', 'Wedding music']",0,0,0,0,0,0
215,-c7hCWwTlrY,"['not_speech', 'speech', 'not_speech']","['Music', 'Speech', 'Ambient music']",1,0,0,0,1,0
216,-cA9HsnV1ao,['not_speech'],['Hair dryer'],0,0,0,0,0,0
217,-cj4S5lJmYE,['not_speech'],['Gargling'],0,0,0,0,0,0
218,-ct58kOlLfs,"['not_speech', 'not_speech']","['Boat, Water vehicle', 'Motorboat, speedboat']",0,0,0,0,0,0
219,-dL27atcAig,['not_speech'],['Pink noise'],0,0,0,0,0,0
220,-dL_J5KkKZQ,"['not_speech', 'not_speech']","['Music', 'Bang']",0,0,0,0,0,0
221,-dVgUSrR8g4,"['not_speech', 'not_speech', 'not_speech']","['Heavy metal', 'Music', 'Progressive rock']",0,0,0,0,0,0
222,-e4wXAy1iVo,"['speech', 'not_speech', 'not_speech']","['Singing', 'Music', 'Ukulele']",1,0,0,0,1,0
