SPEAKER,FILENAME,ONE,STARTTIMESEC,DURATIONSEC,NAN1,NAN2,SPEAKERID,NAN3,NAN4,UTTERANCE,NOTES,VIDEOID,TEXTID,TITLE,ORIGLINK,MP4LINK,TEXTLINK,SHORTLINK
SPEAKER,,1,00:51.300,1.200,<NA>,<NA>,CHI,<NA>,<NA>,11,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:51.300,1.470,<NA>,<NA>,CHI,<NA>,<NA>,10,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:52.770,1.760,<NA>,<NA>,FEM,<NA>,<NA>,Because 10...,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:54.530,2.020,<NA>,<NA>,CHI,<NA>,<NA>,Where is the other one I wanted?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:56.550,2.000,<NA>,<NA>,FEM,<NA>,<NA>,And?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:58.550,3.530,<NA>,<NA>,FEM,<NA>,<NA>,One makes?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:02.080,1.790,<NA>,<NA>,CHI,<NA>,<NA>,"1, 2, 3, 4, 5.",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:03.870,2.740,<NA>,<NA>,FEM,<NA>,<NA>,Great. Can you read this number sentence for me?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:06.610,1.840,<NA>,<NA>,CHI,<NA>,<NA>,6,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:08.450,3.990,<NA>,<NA>,CHI,<NA>,<NA>,7,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:12.340,0.100,<NA>,<NA>,CHI,<NA>,<NA>,4 through 3,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:13.000,2.000,<NA>,<NA>,CHI,<NA>,<NA>,"6, 7",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:12.440,4.190,<NA>,<NA>,FEM,<NA>,<NA>,Are ready to try this number? What is that number?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:16.630,1.190,<NA>,<NA>,CHI,<NA>,<NA>,17,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:17.820,1.420,<NA>,<NA>,FEM,<NA>,<NA>,17,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:19.240,2.260,<NA>,<NA>,FEM,<NA>,<NA>,I'd like you to build it first.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:21.500,2.490,<NA>,<NA>,CHI,<NA>,<NA>,"7, makes 7.",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:23.990,12.650,<NA>,<NA>,CHI,<NA>,<NA>,"1, 2, 3, 4, 5, 6.",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:36.640,1.890,<NA>,<NA>,FEM,<NA>,<NA>,Great. Can you read this for me? Can you tell me what you did?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:38.500,1.000,<NA>,<NA>,CHI,<NA>,<NA>,6,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:39.500,1.000,<NA>,<NA>,CHI,<NA>,<NA>,"Uh, done.",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:40.450,1.050,<NA>,<NA>,CHI,<NA>,<NA>,"Yeah, yeah.",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:41.500,3.750,<NA>,<NA>,CHI,<NA>,<NA>,"It's 7, 2, and 3",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:42.720,1.550,<NA>,<NA>,FEM,<NA>,<NA>,Okay.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:48.750,1.900,<NA>,<NA>,CHI,<NA>,<NA>,Sit that right there.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:50.450,1.670,<NA>,<NA>,FEM,<NA>,<NA>,Okay can you tell me this number sentence?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:52.120,1.690,<NA>,<NA>,CHI,<NA>,<NA>,And then.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:52.810,4.320,<NA>,<NA>,CHI,<NA>,<NA>,10 plus 7 equals 17.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:56.750,1.250,<NA>,<NA>,CHI,<NA>,<NA>,Where is he?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:57.130,2.110,<NA>,<NA>,FEM,<NA>,<NA>,Are you ready to do this number? Can you make this number?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,01:59.240,1.500,<NA>,<NA>,FEM,<NA>,<NA>,What number's this?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:00.740,1.000,<NA>,<NA>,CHI,<NA>,<NA>,14,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:01.740,1.330,<NA>,<NA>,FEM,<NA>,<NA>,14,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:03.070,1.500,<NA>,<NA>,CHI,<NA>,<NA>,10,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:08.570,1.680,<NA>,<NA>,CHI,<NA>,<NA>,And then 6.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:10.250,1.950,<NA>,<NA>,FEM,<NA>,<NA>,What number's this?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:13.200,0.600,<NA>,<NA>,CHI,<NA>,<NA>,16,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:13.800,1.000,<NA>,<NA>,FEM,<NA>,<NA>,Not 16.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:15.190,0.810,<NA>,<NA>,CHI,<NA>,<NA>,It's 17.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:16.000,0.380,<NA>,<NA>,FEM,<NA>,<NA>,17,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:16.380,2.890,<NA>,<NA>,FEM,<NA>,<NA>,So let's take a look at what we have.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:19.270,2.950,<NA>,<NA>,CHI,<NA>,<NA>,10,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:24.220,2.640,<NA>,<NA>,CHI,<NA>,<NA>,"7, teen?",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:26.860,0.800,<NA>,<NA>,FEM,<NA>,<NA>,Equals?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:28.660,0.660,<NA>,<NA>,CHI,<NA>,<NA>,Equals.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:29.320,1.720,<NA>,<NA>,FEM,<NA>,<NA>,10 and 7 more makes?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,02:36.040,5.130,<NA>,<NA>,FEM,<NA>,<NA>,"17, right?",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
