LABEL,START,DUR,FINISH,DUR_TRANS,LABEL_NUM,COUNT
ADULT,1039.132,2.244,1041.376,-2.244,-1,1
CHILD,1041.211,2.537,1043.748,0.419,1,1
ADULT,1045.005,28.987,1073.992,-15.599,-1,1
CHILD,1075.834,0.464,1076.298,0.464,1,1
ADULT,1076.061,17.781,1093.842,-5.449,-1,1
CHILD,1087.616,0.55,1088.166,0.55,1,1
ADULT,1095.056,96.999,1192.055,-1.789,-1,1
CHILD,1134.182,0.275,1134.457,0.275,1,1
ADULT,1136.754,0.599,1137.353,-0.599,-1,1
CHILD,1139.439,0.312,1139.751,0.312,1,1
ADULT,1182.421,47.954,1230.375,-1.968,-1,1
CHILD,1197.558,0.582,1198.14,0.582,1,1
ADULT,1230.763,34.817,1265.58,-5.135,-1,1
CHILD,1260.382,0.155,1260.537,0.155,1,1
